district_id,dem_votes,rep_votes,other_votes,total_votes,dem_pct,rep_pct,margin,winner_party,pvi_numeric
AK-01,131199,149779,1188,282166,46.69,53.31,-6.6200000000000045,R,-15.21
AL-01,89226,153228,163,242617,36.8,63.2,-26.400000000000006,R,-28.61
AL-02,86931,138879,420,226230,38.5,61.5,-23.0,R,-30.97
AL-03,83996,147770,149,231915,36.24,63.76,-27.519999999999996,R,-31.37
AL-04,46492,184255,222,230969,20.15,79.85,-59.699999999999996,R,-59.81
AL-05,101388,159063,222,260673,38.93,61.07,-22.14,R,-32.81
AL-06,85644,192542,142,278328,30.79,69.21,-38.419999999999995,R,-47.21
AL-07,185010,0,4153,189163,100.0,0.0,100.0,D,41.69
AR-01,57907,138757,4581,201245,29.44,70.56,-41.120000000000005,R,-30.0
AR-02,116135,132125,5193,253453,46.78,53.22,-6.439999999999998,R,-9.63
AR-03,74952,148717,6039,229708,33.51,66.49,-32.98,R,-30.8
AR-04,63984,136740,4168,204892,31.88,68.12,-36.24000000000001,R,-29.13
AZ-01,143240,122784,65,266089,53.84,46.16,7.680000000000007,D,-5.56
AZ-02,161000,133083,69,294152,54.75,45.25,9.5,D,-1.22
AZ-03,114650,64868,0,179518,63.87,36.13,27.739999999999995,D,24.11
AZ-04,84521,188842,3672,277035,30.92,69.08,-38.16,R,-42.86
AZ-05,127027,186037,0,313064,40.58,59.42,-18.840000000000003,R,-27.79
AZ-06,140559,173140,0,313699,44.81,55.19,-10.379999999999995,R,-17.56
AZ-07,113044,0,19007,132051,100.0,0.0,100.0,D,43.88
AZ-08,135569,168835,13,304417,44.54,55.46,-10.920000000000002,R,-26.32
AZ-09,159583,101662,0,261245,61.09,38.91,22.180000000000007,D,8.38
CA-01,131548,160046,0,291594,45.11,54.89,-9.780000000000001,R,-22.53
CA-02,243081,72576,0,315657,77.01,22.99,54.02000000000001,D,40.5
CA-03,134875,97376,0,232251,58.07,41.93,16.14,D,8.17
CA-04,156253,184401,0,340654,45.87,54.13,-8.260000000000005,R,-19.9
CA-05,205860,0,55158,261018,100.0,0.0,100.0,D,40.03
CA-06,201939,0,0,201939,100.0,0.0,100.0,D,39.5
CA-07,155016,126601,0,281617,55.04,44.96,10.079999999999998,D,4.97
CA-08,0,170785,0,170785,0.0,100.0,-100.0,R,-18.67
CA-09,113414,87349,0,200763,56.49,43.51,12.980000000000004,D,14.33
CA-10,115945,105955,0,221900,52.25,47.75,4.5,D,-0.77
CA-11,204369,71312,0,275681,74.13,25.87,48.25999999999999,D,41.1
CA-12,275292,41780,0,317072,86.82,13.18,73.63999999999999,D,71.57
CA-13,260580,0,34257,294837,100.0,0.0,100.0,D,75.93
CA-14,211384,55439,0,266823,79.22,20.78,58.44,D,52.03
CA-15,177989,65940,0,243929,72.97,27.03,45.94,D,39.23
CA-16,82266,60693,0,142959,57.55,42.45,15.099999999999994,D,16.83
CA-17,159105,52057,0,211162,75.35,24.65,50.699999999999996,D,47.1
CA-18,225142,77096,0,302238,74.49,25.51,48.97999999999999,D,44.6
CA-19,162496,57823,0,220319,73.75,26.25,47.5,D,45.2
CA-20,183677,0,42044,225721,100.0,0.0,100.0,D,42.4
CA-21,57239,56377,0,113616,50.38,49.62,0.7600000000000051,D,10.07
CA-22,105136,117243,0,222379,47.28,52.72,-5.439999999999998,R,-15.3
CA-23,74661,131113,0,205774,36.28,63.72,-27.439999999999998,R,-27.1
CA-24,166550,117881,0,284431,58.56,41.44,17.120000000000005,D,13.17
CA-25,133209,111813,0,245022,54.37,45.63,8.739999999999995,D,-0.1
CA-26,158216,97210,0,255426,61.94,38.06,23.879999999999995,D,14.07
CA-27,202636,0,0,202636,100.0,0.0,100.0,D,30.3
CA-28,196662,54272,0,250934,78.37,21.63,56.74000000000001,D,43.83
CA-29,124697,29995,0,154692,80.61,19.39,61.22,D,55.47
CA-30,191573,69420,0,260993,73.4,26.6,46.800000000000004,D,36.03
CA-31,110143,77352,0,187495,58.74,41.26,17.480000000000004,D,15.63
CA-32,121759,55272,0,177031,68.78,31.22,37.56,D,32.87
CA-33,219091,93769,0,312860,70.03,29.97,40.06,D,31.5
CA-34,110195,0,41711,151906,100.0,0.0,100.0,D,67.6
CA-35,103420,45604,0,149024,69.4,30.6,38.800000000000004,D,35.5
CA-36,122169,84839,0,207008,59.02,40.98,18.040000000000006,D,2.97
CA-37,210555,25823,0,236378,89.08,10.92,78.16,D,70.83
CA-38,139188,62968,0,202156,68.85,31.15,37.699999999999996,D,33.07
CA-39,126002,118391,0,244393,51.56,48.44,3.1200000000000045,D,0.53
CA-40,93938,0,27511,121449,100.0,0.0,100.0,D,63.97
CA-41,108227,58021,0,166248,65.1,34.9,30.199999999999996,D,23.03
CA-42,100892,131040,0,231932,43.5,56.5,-13.0,R,-17.0
CA-43,152272,43780,0,196052,77.67,22.33,55.34,D,56.5
CA-44,143322,0,0,143322,100.0,0.0,100.0,D,66.87
CA-45,158906,146383,0,305289,52.05,47.95,4.099999999999994,D,-4.3
CA-46,102278,45638,0,147916,69.15,30.85,38.300000000000004,D,30.03
CA-47,143354,77682,0,221036,64.86,35.14,29.72,D,24.6
CA-48,157837,136899,0,294736,53.55,46.45,7.099999999999994,D,-6.73
CA-49,166453,128577,0,295030,56.42,43.58,12.840000000000003,D,-1.13
CA-50,125448,134362,0,259810,48.28,51.72,-3.4399999999999977,R,-21.57
CA-51,109527,44301,0,153828,71.2,28.8,42.400000000000006,D,42.2
CA-52,188992,107015,0,296007,63.85,36.15,27.700000000000003,D,13.17
CA-53,185667,83127,0,268794,69.07,30.93,38.13999999999999,D,27.63
CO-01,272886,85207,11600,369693,76.21,23.79,52.419999999999995,D,40.37
CO-02,259608,144901,26105,430614,64.18,35.82,28.360000000000007,D,16.77
CO-03,146426,173205,16558,336189,45.81,54.19,-8.379999999999995,R,-13.56
CO-04,145544,224038,0,369582,39.38,60.62,-21.239999999999995,R,-25.39
CO-05,126848,184002,11795,322645,40.81,59.19,-18.379999999999995,R,-26.49
CO-06,187639,148685,10493,346817,55.79,44.21,11.579999999999998,D,4.07
CO-07,204260,119734,14012,338006,63.04,36.96,26.08,D,9.37
CT-01,166155,96024,11961,274140,63.37,36.63,26.739999999999995,D,20.56
CT-02,167659,102483,18972,289114,62.06,37.94,24.120000000000005,D,2.29
CT-03,163211,95667,11361,270239,63.05,36.95,26.099999999999994,D,15.02
CT-04,168726,103175,3750,275651,62.05,37.95,24.099999999999994,D,14.96
CT-05,142901,115146,12617,270664,55.38,44.62,10.760000000000005,D,1.39
DE-01,227353,125384,0,352737,64.45,35.55,28.900000000000006,D,13.66
FL-01,106199,216189,0,322388,32.94,67.06,-34.120000000000005,R,-43.9
FL-02,96233,199335,0,295568,32.56,67.44,-34.879999999999995,R,-38.84
FL-03,129880,176616,0,306496,42.38,57.62,-15.239999999999995,R,-20.47
FL-04,123351,248420,9478,381249,33.18,66.82,-33.63999999999999,R,-34.67
FL-05,180527,89799,0,270326,66.78,33.22,33.56,D,21.43
FL-06,145758,187891,0,333649,43.69,56.31,-12.620000000000005,R,-18.1
FL-07,183113,134285,0,317398,57.69,42.31,15.379999999999995,D,-0.04
FL-08,142415,218112,0,360527,39.5,60.5,-21.0,R,-23.54
FL-09,172172,124565,0,296737,58.02,41.98,16.040000000000006,D,7.76
FL-10,1,0,0,1,100.0,0.0,100.0,D,20.46
FL-11,128053,239395,58,367506,34.85,65.15,-30.300000000000004,R,-32.9
FL-12,132844,194564,7510,334918,40.57,59.43,-18.86,R,-19.8
FL-13,182717,134254,0,316971,57.64,42.36,15.280000000000001,D,0.8
FL-14,1,0,0,1,100.0,0.0,100.0,D,12.7
FL-15,134132,151380,20,285532,46.98,53.02,-6.040000000000006,R,-13.44
FL-16,164463,197483,0,361946,45.44,54.56,-9.120000000000005,R,-14.9
FL-17,117194,193326,0,310520,37.74,62.26,-24.519999999999996,R,-28.47
FL-18,156454,185905,0,342359,45.7,54.3,-8.599999999999994,R,-12.27
FL-19,128106,211465,36,339607,37.73,62.27,-24.540000000000006,R,-26.9
FL-20,202659,0,165,202824,100.0,0.0,100.0,D,58.3
FL-21,1,0,0,1,100.0,0.0,100.0,D,15.26
FL-22,184634,113049,0,297683,62.02,37.98,24.040000000000006,D,10.06
FL-23,161611,99446,15309,276366,61.91,38.09,23.819999999999993,D,20.3
FL-24,1,0,0,1,100.0,0.0,100.0,D,64.03
FL-25,84173,128672,0,212845,39.55,60.45,-20.900000000000006,R,-9.3
FL-26,119797,115678,0,235475,50.87,49.13,1.7399999999999949,D,9.8
FL-27,130743,115588,6255,252586,53.08,46.92,6.159999999999997,D,10.4
GA-01,105942,144741,0,250683,42.26,57.74,-15.480000000000004,R,-20.37
GA-02,136699,92472,0,229171,59.65,40.35,19.299999999999997,D,8.0
GA-03,101010,191996,0,293006,34.47,65.53,-31.060000000000002,R,-37.7
GA-04,227717,61092,0,288809,78.85,21.15,57.699999999999996,D,45.66
GA-05,275406,0,0,275406,100.0,0.0,100.0,D,65.43
GA-06,160139,156875,18,317032,50.51,49.49,1.019999999999996,D,-14.5
GA-07,140011,140430,0,280441,49.93,50.07,-0.14000000000000057,R,-17.24
GA-08,0,198152,564,198716,0.0,100.0,-100.0,R,-33.04
GA-09,57912,224661,5,282578,20.49,79.51,-59.02000000000001,R,-63.94
GA-10,112339,190396,0,302735,37.11,62.89,-25.78,R,-31.47
GA-11,118653,191887,0,310540,38.21,61.79,-23.58,R,-34.2
GA-12,101503,148986,3,250492,40.52,59.48,-18.959999999999994,R,-20.47
GA-13,223157,69760,93,293010,76.18,23.82,52.36000000000001,D,36.93
GA-14,53981,175743,0,229724,23.5,76.5,-53.0,R,-56.97
HI-01,134650,42498,7063,184211,76.01,23.99,52.02000000000001,D,35.57
HI-02,153271,44850,0,198121,77.36,22.64,54.72,D,36.37
IA-01,170342,153442,10459,334243,52.61,47.39,5.219999999999999,D,0.74
IA-02,171446,133287,8180,312913,56.26,43.74,12.519999999999996,D,0.14
IA-03,175642,167933,12666,356241,51.12,48.88,2.239999999999995,D,-2.42
IA-04,147246,157676,8329,313251,48.29,51.71,-3.4200000000000017,R,-22.46
ID-01,96922,197719,20428,315069,32.89,67.11,-34.22,R,-39.58
ID-02,110381,170274,0,280655,39.33,60.67,-21.340000000000003,R,-29.95
IL-01,189560,50960,17365,257885,78.81,21.19,57.620000000000005,D,51.63
IL-02,190684,44567,0,235251,81.06,18.94,62.120000000000005,D,56.06
IL-03,163053,57885,2396,223334,73.8,26.2,47.599999999999994,D,10.7
IL-04,143895,22294,0,166189,86.59,13.41,73.18,D,63.26
IL-05,213992,65134,5,279131,76.67,23.33,53.34,D,38.53
IL-06,169001,146445,0,315446,53.58,46.42,7.159999999999997,D,-2.0
IL-07,215746,30497,0,246243,87.62,12.38,75.24000000000001,D,73.33
IL-08,130054,67073,0,197127,65.97,34.03,31.939999999999998,D,16.03
IL-09,213368,76983,0,290351,73.49,26.51,46.97999999999999,D,36.77
IL-10,156540,82124,0,238664,65.59,34.41,31.180000000000007,D,21.13
IL-11,145407,82358,0,227765,63.84,36.16,27.680000000000007,D,17.47
IL-12,118724,134884,7935,261543,46.81,53.19,-6.3799999999999955,R,-13.27
IL-13,134458,136516,7,270981,49.62,50.38,-0.7600000000000051,R,-7.7
IL-14,156035,141164,0,297199,52.5,47.5,5.0,D,-9.87
IL-15,74309,181294,5,255608,29.07,70.93,-41.86000000000001,R,-44.67
IL-16,104569,151254,2,255825,40.88,59.12,-18.239999999999995,R,-17.97
IL-17,142659,87090,0,229749,62.09,37.91,24.180000000000007,D,1.26
IL-18,95486,195927,0,291413,32.77,67.23,-34.46,R,-29.9
IN-01,159611,85594,4,245209,65.09,34.91,30.180000000000007,D,14.48
IN-02,103363,125499,27,228889,45.16,54.84,-9.680000000000007,R,-21.99
IN-03,86610,158927,0,245537,35.27,64.73,-29.46,R,-34.12
IN-04,87824,156539,0,244363,35.94,64.06,-28.120000000000005,R,-32.59
IN-05,137142,180035,0,317177,43.24,56.76,-13.519999999999996,R,-15.32
IN-06,79430,154260,8036,241726,33.99,66.01,-32.02,R,-36.42
IN-07,141139,76457,0,217596,64.86,35.14,29.72,D,22.54
IN-08,86895,157396,0,244291,35.57,64.43,-28.860000000000007,R,-30.59
IN-09,118090,153271,0,271361,43.52,56.48,-12.959999999999994,R,-25.29
KS-01,71558,153082,0,224640,31.85,68.15,-36.300000000000004,R,-46.55
KS-02,123859,126098,14731,264688,49.55,50.45,-0.9000000000000057,R,-19.05
KS-03,170518,139762,8021,318301,54.96,45.04,9.920000000000002,D,-4.75
KS-04,98445,144248,0,242693,40.56,59.44,-18.879999999999995,R,-29.02
KY-01,78849,172167,0,251016,31.41,68.59,-37.18000000000001,R,-39.53
KY-02,79964,171700,5681,257345,31.77,68.23,-36.46000000000001,R,-31.76
KY-03,173002,101930,3788,278720,62.93,37.07,25.86,D,18.54
KY-04,90536,162946,8330,261812,35.72,64.28,-28.560000000000002,R,-29.23
KY-05,45890,172093,34,218017,21.05,78.95,-57.900000000000006,R,-54.43
KY-06,144736,154468,3684,302888,48.37,51.63,-3.260000000000005,R,-10.5
LA-01,71521,192555,5249,269325,27.08,72.92,-45.84,R,-41.19
LA-02,190182,0,45800,235982,100.0,0.0,100.0,D,54.08
LA-03,74713,168263,2967,245943,30.75,69.25,-38.5,R,-35.19
LA-04,72934,139326,4612,216872,34.36,65.64,-31.28,R,-20.96
LA-05,67118,149018,7810,223946,31.05,68.95,-37.900000000000006,R,-25.89
LA-06,76716,186553,5256,268525,29.14,70.86,-41.72,R,-32.42
MA-01,211790,0,5110,216900,100.0,0.0,100.0,D,27.23
MA-02,191332,93391,170,284893,67.2,32.8,34.400000000000006,D,22.96
